figure_name,file_location,name_stat,type_stat,name_syst,type_syst,description,paper_location,x1_name,x1_units,x2_name,x2_units,y_name,y_units
Figure3_Panel3_pt0,data/hist_PbPb502_binCent_bin2_paper.root,sts_v2_3sub_Har4_Pt0,TGraphAsymmErrors,sys_v2_3sub_Har4_Pt0,TGraphAsymmErrors,"v_4{2}, 3-subevent, 0.5<pT<5.0 GeV",Page 13,Centrality,,,,v_4{2},
Figure3_Panel3_pt1,data/hist_PbPb502_binCent_bin2_paper.root,sts_v2_3sub_Har4_Pt2,TGraphAsymmErrors,sys_v2_3sub_Har4_Pt2,TGraphAsymmErrors,"v_4{2}, 3-subevent, 1.0<pT<5.0 GeV",Page 13,Centrality,,,,v_4{2},
Figure3_Panel3_pt2,data/hist_PbPb502_binCent_bin2_paper.root,sts_v2_3sub_Har4_Pt4,TGraphAsymmErrors,sys_v2_3sub_Har4_Pt4,TGraphAsymmErrors,"v_4{2}, 3-subevent, 1.5<pT<5.0 GeV",Page 13,Centrality,,,,v_4{2},
Figure3_Panel3_pt3,data/hist_PbPb502_binCent_bin2_paper.root,sts_v2_3sub_Har4_Pt6,TGraphAsymmErrors,sys_v2_3sub_Har4_Pt6,TGraphAsymmErrors,"v_4{2}, 3-subevent, 2.0<pT<5.0 GeV",Page 13,Centrality,,,,v_4{2},
Figure4_Panel1_pt0,data/hist_PbPb502_binCent_bin1_paper.root,sts_nc4_1sub_Har2_Pt0,TGraphErrors,sys_nc4_1sub_Har2_Pt0,TGraphAsymmErrors,"nc_2{4}, standard, 0.5<pT<5.0 GeV",Page 14,Centrality,,,,nc_2{4},
Figure4_Panel1_pt1,data/hist_PbPb502_binCent_bin1_paper.root,sts_nc4_1sub_Har2_Pt2,TGraphErrors,sys_nc4_1sub_Har2_Pt2,TGraphAsymmErrors,"nc_2{4}, standard, 1.0<pT<5.0 GeV",Page 14,Centrality,,,,nc_2{4},
Figure4_Panel1_pt2,data/hist_PbPb502_binCent_bin1_paper.root,sts_nc4_1sub_Har2_Pt4,TGraphErrors,sys_nc4_1sub_Har2_Pt4,TGraphAsymmErrors,"nc_2{4}, standard, 1.5<pT<5.0 GeV",Page 14,Centrality,,,,nc_2{4},
Figure4_Panel1_pt3,data/hist_PbPb502_binCent_bin1_paper.root,sts_nc4_1sub_Har2_Pt6,TGraphErrors,sys_nc4_1sub_Har2_Pt6,TGraphAsymmErrors,"nc_2{4}, standard, 2.0<pT<5.0 GeV",Page 14,Centrality,,,,nc_2{4},
Figure4_Panel2_pt0,data/hist_PbPb502_binCent_bin2_paper.root,sts_nc4_1sub_Har3_Pt0,TGraphErrors,sys_nc4_1sub_Har3_Pt0,TGraphAsymmErrors,"nc_3{4}, standard, 0.5<pT<5.0 GeV",Page 14,Centrality,,,,nc_3{4},
Figure4_Panel2_pt1,data/hist_PbPb502_binCent_bin2_paper.root,sts_nc4_1sub_Har3_Pt2,TGraphErrors,sys_nc4_1sub_Har3_Pt2,TGraphAsymmErrors,"nc_3{4}, standard, 1.0<pT<5.0 GeV",Page 14,Centrality,,,,nc_3{4},
Figure4_Panel2_pt2,data/hist_PbPb502_binCent_bin2_paper.root,sts_nc4_1sub_Har3_Pt4,TGraphErrors,sys_nc4_1sub_Har3_Pt4,TGraphAsymmErrors,"nc_3{4}, standard, 1.5<pT<5.0 GeV",Page 14,Centrality,,,,nc_3{4},
Figure4_Panel2_pt3,data/hist_PbPb502_binCent_bin2_paper.root,sts_nc4_1sub_Har3_Pt6,TGraphErrors,sys_nc4_1sub_Har3_Pt6,TGraphAsymmErrors,"nc_3{4}, standard, 2.0<pT<5.0 GeV",Page 14,Centrality,,,,nc_3{4},
Figure4_Panel3_pt0,data/hist_PbPb502_binCent_bin2_paper.root,sts_nc4_1sub_Har4_Pt0,TGraphErrors,sys_nc4_1sub_Har4_Pt0,TGraphAsymmErrors,"nc_4{4}, standard, 0.5<pT<5.0 GeV",Page 14,Centrality,,,,nc_4{4},
Figure4_Panel3_pt1,data/hist_PbPb502_binCent_bin2_paper.root,sts_nc4_1sub_Har4_Pt2,TGraphErrors,sys_nc4_1sub_Har4_Pt2,TGraphAsymmErrors,"nc_4{4}, standard, 1.0<pT<5.0 GeV",Page 14,Centrality,,,,nc_4{4},
Figure4_Panel3_pt2,data/hist_PbPb502_binCent_bin2_paper.root,sts_nc4_1sub_Har4_Pt4,TGraphErrors,sys_nc4_1sub_Har4_Pt4,TGraphAsymmErrors,"nc_4{4}, standard, 1.5<pT<5.0 GeV",Page 14,Centrality,,,,nc_4{4},
Figure4_Panel3_pt3,data/hist_PbPb502_binCent_bin2_paper.root,sts_nc4_1sub_Har4_Pt6,TGraphErrors,sys_nc4_1sub_Har4_Pt6,TGraphAsymmErrors,"nc_4{4}, standard, 2.0<pT<5.0 GeV",Page 14,Centrality,,,,nc_4{4},
Figure4_Panel4_pt0,data/hist_PbPb502_binCent_bin1_paper.root,sts_nc4_3sub_Har2_Pt0,TGraphErrors,sys_nc4_3sub_Har2_Pt0,TGraphAsymmErrors,"nc_2{4}, 3-subevent, 0.5<pT<5.0 GeV",Page 14,Centrality,,,,nc_2{4},
Figure4_Panel4_pt1,data/hist_PbPb502_binCent_bin1_paper.root,sts_nc4_3sub_Har2_Pt2,TGraphErrors,sys_nc4_3sub_Har2_Pt2,TGraphAsymmErrors,"nc_2{4}, 3-subevent, 1.0<pT<5.0 GeV",Page 14,Centrality,,,,nc_2{4},
Figure4_Panel4_pt2,data/hist_PbPb502_binCent_bin1_paper.root,sts_nc4_3sub_Har2_Pt4,TGraphErrors,sys_nc4_3sub_Har2_Pt4,TGraphAsymmErrors,"nc_2{4}, 3-subevent, 1.5<pT<5.0 GeV",Page 14,Centrality,,,,nc_2{4},
Figure4_Panel4_pt3,data/hist_PbPb502_binCent_bin1_paper.root,sts_nc4_3sub_Har2_Pt6,TGraphErrors,sys_nc4_3sub_Har2_Pt6,TGraphAsymmErrors,"nc_2{4}, 3-subevent, 2.0<pT<5.0 GeV",Page 14,Centrality,,,,nc_2{4},
Figure4_Panel5_pt0,data/hist_PbPb502_binCent_bin3_paper.root,sts_nc4_3sub_Har3_Pt0,TGraphErrors,sys_nc4_3sub_Har3_Pt0,TGraphAsymmErrors,"nc_3{4}, 3-subevent, 0.5<pT<5.0 GeV",Page 14,Centrality,,,,nc_3{4},
Figure4_Panel5_pt1,data/hist_PbPb502_binCent_bin3_paper.root,sts_nc4_3sub_Har3_Pt2,TGraphErrors,sys_nc4_3sub_Har3_Pt2,TGraphAsymmErrors,"nc_3{4}, 3-subevent, 1.0<pT<5.0 GeV",Page 14,Centrality,,,,nc_3{4},
Figure4_Panel5_pt2,data/hist_PbPb502_binCent_bin3_paper.root,sts_nc4_3sub_Har3_Pt4,TGraphErrors,sys_nc4_3sub_Har3_Pt4,TGraphAsymmErrors,"nc_3{4}, 3-subevent, 1.5<pT<5.0 GeV",Page 14,Centrality,,,,nc_3{4},
Figure4_Panel5_pt3,data/hist_PbPb502_binCent_bin3_paper.root,sts_nc4_3sub_Har3_Pt6,TGraphErrors,sys_nc4_3sub_Har3_Pt6,TGraphAsymmErrors,"nc_3{4}, 3-subevent, 2.0<pT<5.0 GeV",Page 14,Centrality,,,,nc_3{4},
Figure4_Panel6_pt0,data/hist_PbPb502_binCent_bin3_paper.root,sts_nc4_3sub_Har4_Pt0,TGraphErrors,sys_nc4_3sub_Har4_Pt0,TGraphAsymmErrors,"nc_4{4}, 3-subevent, 0.5<pT<5.0 GeV",Page 14,Centrality,,,,nc_4{4},
Figure4_Panel6_pt1,data/hist_PbPb502_binCent_bin3_paper.root,sts_nc4_3sub_Har4_Pt2,TGraphErrors,sys_nc4_3sub_Har4_Pt2,TGraphAsymmErrors,"nc_4{4}, 3-subevent, 1.0<pT<5.0 GeV",Page 14,Centrality,,,,nc_4{4},
Figure4_Panel6_pt2,data/hist_PbPb502_binCent_bin3_paper.root,sts_nc4_3sub_Har4_Pt4,TGraphErrors,sys_nc4_3sub_Har4_Pt4,TGraphAsymmErrors,"nc_4{4}, 3-subevent, 1.5<pT<5.0 GeV",Page 14,Centrality,,,,nc_4{4},
Figure4_Panel6_pt3,data/hist_PbPb502_binCent_bin3_paper.root,sts_nc4_3sub_Har4_Pt6,TGraphErrors,sys_nc4_3sub_Har4_Pt6,TGraphAsymmErrors,"nc_4{4}, 3-subevent, 2.0<pT<5.0 GeV",Page 14,Centrality,,,,nc_4{4},
Figure5_Panel1_pt0,data/hist_PbPb502_binCent_bin1_paper.root,sts_v42_1sub_Har2_Pt0,TGraphAsymmErrors,sys_v42_1sub_Har2_Pt0,TGraphAsymmErrors,"v_2{4} / v_2{2}, standard, 0.5<pT<5.0 GeV",Page 15,Centrality,,,,v_2{4} / v_2{2},
Figure5_Panel1_pt1,data/hist_PbPb502_binCent_bin1_paper.root,sts_v42_1sub_Har2_Pt2,TGraphAsymmErrors,sys_v42_1sub_Har2_Pt2,TGraphAsymmErrors,"v_2{4} / v_2{2}, standard, 1.0<pT<5.0 GeV",Page 15,Centrality,,,,v_2{4} / v_2{2},
Figure5_Panel1_pt2,data/hist_PbPb502_binCent_bin1_paper.root,sts_v42_1sub_Har2_Pt4,TGraphAsymmErrors,sys_v42_1sub_Har2_Pt4,TGraphAsymmErrors,"v_2{4} / v_2{2}, standard, 1.5<pT<5.0 GeV",Page 15,Centrality,,,,v_2{4} / v_2{2},
Figure5_Panel1_pt3,data/hist_PbPb502_binCent_bin1_paper.root,sts_v42_1sub_Har2_Pt6,TGraphAsymmErrors,sys_v42_1sub_Har2_Pt6,TGraphAsymmErrors,"v_2{4} / v_2{2}, standard, 2.0<pT<5.0 GeV",Page 15,Centrality,,,,v_2{4} / v_2{2},
Figure5_Panel2_pt0,data/hist_PbPb502_binCent_bin2_paper.root,sts_v42_1sub_Har3_Pt0,TGraphAsymmErrors,sys_v42_1sub_Har3_Pt0,TGraphAsymmErrors,"v_3{4} / v_3{2}, standard, 0.5<pT<5.0 GeV",Page 15,Centrality,,,,v_3{4} / v_3{2},
Figure5_Panel2_pt1,data/hist_PbPb502_binCent_bin2_paper.root,sts_v42_1sub_Har3_Pt2,TGraphAsymmErrors,sys_v42_1sub_Har3_Pt2,TGraphAsymmErrors,"v_3{4} / v_3{2}, standard, 1.0<pT<5.0 GeV",Page 15,Centrality,,,,v_3{4} / v_3{2},
Figure5_Panel2_pt2,data/hist_PbPb502_binCent_bin2_paper.root,sts_v42_1sub_Har3_Pt4,TGraphAsymmErrors,sys_v42_1sub_Har3_Pt4,TGraphAsymmErrors,"v_3{4} / v_3{2}, standard, 1.5<pT<5.0 GeV",Page 15,Centrality,,,,v_3{4} / v_3{2},
Figure5_Panel2_pt3,data/hist_PbPb502_binCent_bin2_paper.root,sts_v42_1sub_Har3_Pt6,TGraphAsymmErrors,sys_v42_1sub_Har3_Pt6,TGraphAsymmErrors,"v_3{4} / v_3{2}, standard, 2.0<pT<5.0 GeV",Page 15,Centrality,,,,v_3{4} / v_3{2},
Figure5_Panel3_pt0,data/hist_PbPb502_binCent_bin2_paper.root,sts_v42_1sub_Har4_Pt0,TGraphAsymmErrors,sys_v42_1sub_Har4_Pt0,TGraphAsymmErrors,"v_4{4} / v_4{2}, standard, 0.5<pT<5.0 GeV",Page 15,Centrality,,,,v_4{4} / v_4{2},
Figure5_Panel3_pt1,data/hist_PbPb502_binCent_bin2_paper.root,sts_v42_1sub_Har4_Pt2,TGraphAsymmErrors,sys_v42_1sub_Har4_Pt2,TGraphAsymmErrors,"v_4{4} / v_4{2}, standard, 1.0<pT<5.0 GeV",Page 15,Centrality,,,,v_4{4} / v_4{2},
Figure5_Panel3_pt2,data/hist_PbPb502_binCent_bin2_paper.root,sts_v42_1sub_Har4_Pt4,TGraphAsymmErrors,sys_v42_1sub_Har4_Pt4,TGraphAsymmErrors,"v_4{4} / v_4{2}, standard, 1.5<pT<5.0 GeV",Page 15,Centrality,,,,v_4{4} / v_4{2},
Figure5_Panel3_pt3,data/hist_PbPb502_binCent_bin2_paper.root,sts_v42_1sub_Har4_Pt6,TGraphAsymmErrors,sys_v42_1sub_Har4_Pt6,TGraphAsymmErrors,"v_4{4} / v_4{2}, standard, 2.0<pT<5.0 GeV",Page 15,Centrality,,,,v_4{4} / v_4{2},
Figure6_Panel1_pt0,data/hist_PbPb502_binCent_bin1_paper.root,sts_nc6_1sub_Har2_Pt0,TGraphErrors,sys_nc6_1sub_Har2_Pt0,TGraphAsymmErrors,"nc_2{6}, standard, 0.5<pT<5.0 GeV",Page 16,Centrality,,,,nc_2{6},
Figure6_Panel1_pt1,data/hist_PbPb502_binCent_bin1_paper.root,sts_nc6_1sub_Har2_Pt2,TGraphErrors,sys_nc6_1sub_Har2_Pt2,TGraphAsymmErrors,"nc_2{6}, standard, 1.0<pT<5.0 GeV",Page 16,Centrality,,,,nc_2{6},
Figure6_Panel1_pt2,data/hist_PbPb502_binCent_bin1_paper.root,sts_nc6_1sub_Har2_Pt4,TGraphErrors,sys_nc6_1sub_Har2_Pt4,TGraphAsymmErrors,"nc_2{6}, standard, 1.5<pT<5.0 GeV",Page 16,Centrality,,,,nc_2{6},
Figure6_Panel1_pt3,data/hist_PbPb502_binCent_bin1_paper.root,sts_nc6_1sub_Har2_Pt6,TGraphErrors,sys_nc6_1sub_Har2_Pt6,TGraphAsymmErrors,"nc_2{6}, standard, 2.0<pT<5.0 GeV",Page 16,Centrality,,,,nc_2{6},
Figure6_Panel2_pt0,data/hist_PbPb502_binCent_bin4_paper.root,sts_nc6_1sub_Har3_Pt0,TGraphErrors,sys_nc6_1sub_Har3_Pt0,TGraphAsymmErrors,"nc_3{6}, standard, 0.5<pT<5.0 GeV",Page 16,Centrality,,,,nc_3{6},
Figure6_Panel2_pt1,data/hist_PbPb502_binCent_bin4_paper.root,sts_nc6_1sub_Har3_Pt2,TGraphErrors,sys_nc6_1sub_Har3_Pt2,TGraphAsymmErrors,"nc_3{6}, standard, 1.0<pT<5.0 GeV",Page 16,Centrality,,,,nc_3{6},
Figure6_Panel2_pt2,data/hist_PbPb502_binCent_bin4_paper.root,sts_nc6_1sub_Har3_Pt4,TGraphErrors,sys_nc6_1sub_Har3_Pt4,TGraphAsymmErrors,"nc_3{6}, standard, 1.5<pT<5.0 GeV",Page 16,Centrality,,,,nc_3{6},
Figure6_Panel2_pt3,data/hist_PbPb502_binCent_bin4_paper.root,sts_nc6_1sub_Har3_Pt6,TGraphErrors,sys_nc6_1sub_Har3_Pt6,TGraphAsymmErrors,"nc_3{6}, standard, 2.0<pT<5.0 GeV",Page 16,Centrality,,,,nc_3{6},
Figure6_Panel3_pt0,data/hist_PbPb502_binCent_bin4_paper.root,sts_nc6_1sub_Har4_Pt0,TGraphErrors,sys_nc6_1sub_Har4_Pt0,TGraphAsymmErrors,"nc_4{6}, standard, 0.5<pT<5.0 GeV",Page 16,Centrality,,,,nc_4{6},
Figure6_Panel3_pt1,data/hist_PbPb502_binCent_bin4_paper.root,sts_nc6_1sub_Har4_Pt2,TGraphErrors,sys_nc6_1sub_Har4_Pt2,TGraphAsymmErrors,"nc_4{6}, standard, 1.0<pT<5.0 GeV",Page 16,Centrality,,,,nc_4{6},
Figure6_Panel3_pt2,data/hist_PbPb502_binCent_bin4_paper.root,sts_nc6_1sub_Har4_Pt4,TGraphErrors,sys_nc6_1sub_Har4_Pt4,TGraphAsymmErrors,"nc_4{6}, standard, 1.5<pT<5.0 GeV",Page 16,Centrality,,,,nc_4{6},
Figure6_Panel3_pt3,data/hist_PbPb502_binCent_bin4_paper.root,sts_nc6_1sub_Har4_Pt6,TGraphErrors,sys_nc6_1sub_Har4_Pt6,TGraphAsymmErrors,"nc_4{6}, standard, 2.0<pT<5.0 GeV",Page 16,Centrality,,,,nc_4{6},
Figure7_pt0,data/fromCanvas.root,fig07_pad1_sts_isGauss_1sub_Har2_Pt0,TGraphAsymmErrors,fig07_pad1_sys_isGauss_1sub_Har2_Pt0,TGraphAsymmErrors,"v_2{6} / v_2{4}, standard, 0.5<pT<5.0 GeV",Page 16,Centrality,,,,v_2{6} / v_2{4},
Figure7_pt1,data/fromCanvas.root,fig07_pad1_sts_isGauss_1sub_Har2_Pt2,TGraphAsymmErrors,fig07_pad1_sys_isGauss_1sub_Har2_Pt2,TGraphAsymmErrors,"v_2{6} / v_2{4}, standard, 1.0<pT<5.0 GeV",Page 16,Centrality,,,,v_2{6} / v_2{4},
Figure7_pt2,data/fromCanvas.root,fig07_pad1_sts_isGauss_1sub_Har2_Pt4,TGraphAsymmErrors,fig07_pad1_sys_isGauss_1sub_Har2_Pt4,TGraphAsymmErrors,"v_2{6} / v_2{4}, standard, 1.5<pT<5.0 GeV",Page 16,Centrality,,,,v_2{6} / v_2{4},
Figure7_pt3,data/fromCanvas.root,fig07_pad1_sts_isGauss_1sub_Har2_Pt6,TGraphAsymmErrors,fig07_pad1_sys_isGauss_1sub_Har2_Pt6,TGraphAsymmErrors,"v_2{6} / v_2{4}, standard, 2.0<pT<5.0 GeV",Page 16,Centrality,,,,v_2{6} / v_2{4},
Figure8_Panel1_pt0,data/fromCanvas.root,fig08_pad1_Graph_Dummy4,TGraphAsymmErrors,fig08_pad1_sys_c4_1sub_Har1_Pt0_Dummy0,TGraphAsymmErrors,"c_1{4}, standard, 0.5<pT<5.0 GeV",Page 17,Centrality,,,,c_1{4},
Figure8_Panel1_pt1,data/fromCanvas.root,fig08_pad1_Graph_Dummy5,TGraphAsymmErrors,fig08_pad1_sys_c4_1sub_Har1_Pt2_Dummy1,TGraphAsymmErrors,"c_1{4}, standard, 1.0<pT<5.0 GeV",Page 17,Centrality,,,,c_1{4},
Figure8_Panel1_pt2,data/fromCanvas.root,fig08_pad1_Graph_Dummy6,TGraphAsymmErrors,fig08_pad1_sys_c4_1sub_Har1_Pt4_Dummy2,TGraphAsymmErrors,"c_1{4}, standard, 1.5<pT<5.0 GeV",Page 17,Centrality,,,,c_1{4},
Figure8_Panel1_pt3,data/fromCanvas.root,fig08_pad1_Graph_Dummy7,TGraphAsymmErrors,fig08_pad1_sys_c4_1sub_Har1_Pt6_Dummy3,TGraphAsymmErrors,"c_1{4}, standard, 2.0<pT<5.0 GeV",Page 17,Centrality,,,,c_1{4},
Figure8_Panel2_pt0,data/fromCanvas.root,fig08_pad2_Graph_Dummy4,TGraphAsymmErrors,fig08_pad2_sys_c4_3sub_Har1_Pt0_Dummy0,TGraphAsymmErrors,"c_1{4}, 3-subevent, 0.5<pT<5.0 GeV",Page 17,Centrality,,,,c_1{4},
Figure8_Panel2_pt1,data/fromCanvas.root,fig08_pad2_Graph_Dummy5,TGraphAsymmErrors,fig08_pad2_sys_c4_3sub_Har1_Pt2_Dummy1,TGraphAsymmErrors,"c_1{4}, 3-subevent, 1.0<pT<5.0 GeV",Page 17,Centrality,,,,c_1{4},
Figure8_Panel2_pt2,data/fromCanvas.root,fig08_pad2_Graph_Dummy6,TGraphAsymmErrors,fig08_pad2_sys_c4_3sub_Har1_Pt4_Dummy2,TGraphAsymmErrors,"c_1{4}, 3-subevent, 1.5<pT<5.0 GeV",Page 17,Centrality,,,,c_1{4},
Figure8_Panel2_pt3,data/fromCanvas.root,fig08_pad2_Graph_Dummy7,TGraphAsymmErrors,fig08_pad2_sys_c4_3sub_Har1_Pt6_Dummy3,TGraphAsymmErrors,"c_1{4}, 3-subevent, 2.0<pT<5.0 GeV",Page 17,Centrality,,,,c_1{4},
Figure9_Panel1_pt0,data/fromCanvas.root,fig09_pad1_Graph_v4_Dummy2,TGraphAsymmErrors,fig09_pad1_sys_c4_1sub_Har1_Pt4_v4_Dummy0,TGraphAsymmErrors,"v_1{4}, standard, 1.5<pT<5.0 GeV",Page 18,Centrality,,,,v_1{4},
Figure9_Panel1_pt1,data/fromCanvas.root,fig09_pad1_Graph_v4_Dummy3,TGraphAsymmErrors,fig09_pad1_sys_c4_1sub_Har1_Pt6_v4_Dummy1,TGraphAsymmErrors,"v_1{4}, standard, 2.0<pT<5.0 GeV",Page 18,Centrality,,,,v_1{4},
Figure9_Panel2_pt0,data/fromCanvas.root,fig09_pad2_Graph_v4_Dummy2,TGraphAsymmErrors,fig09_pad2_sys_c4_3sub_Har1_Pt4_v4_Dummy0,TGraphAsymmErrors,"v_1{4}, 3-subevent, 1.5<pT<5.0 GeV",Page 18,Centrality,,,,v_1{4},
Figure9_Panel2_pt1,data/fromCanvas.root,fig09_pad2_Graph_v4_Dummy4,TGraphAsymmErrors,fig09_pad2_sys_c4_3sub_Har1_Pt6_v4_Dummy1,TGraphAsymmErrors,"v_1{4}, 3-subevent, 2.0<pT<5.0 GeV",Page 18,Centrality,,,,v_1{4},
Figure10_Panel1_pt0,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_1sub_Har2_Pt0,TGraphErrors,sys_nsc_1sub_Har2_Pt0,TGraphAsymmErrors,"nsc_2_3{4}, standard, 0.5<pT<5.0 GeV",Page 18,Centrality,,,,nsc_2_3{4},
Figure10_Panel1_pt1,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_1sub_Har2_Pt2,TGraphErrors,sys_nsc_1sub_Har2_Pt2,TGraphAsymmErrors,"nsc_2_3{4}, standard, 1.0<pT<5.0 GeV",Page 18,Centrality,,,,nsc_2_3{4},
Figure10_Panel1_pt2,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_1sub_Har2_Pt4,TGraphErrors,sys_nsc_1sub_Har2_Pt4,TGraphAsymmErrors,"nsc_2_3{4}, standard, 1.5<pT<5.0 GeV",Page 18,Centrality,,,,nsc_2_3{4},
Figure10_Panel1_pt3,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_1sub_Har2_Pt6,TGraphErrors,sys_nsc_1sub_Har2_Pt6,TGraphAsymmErrors,"nsc_2_3{4}, standard, 2.0<pT<5.0 GeV",Page 18,Centrality,,,,nsc_2_3{4},
Figure10_Panel2_pt0,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_3sub_Har2_Pt0,TGraphErrors,sys_nsc_3sub_Har2_Pt0,TGraphAsymmErrors,"nsc_2_3{4}, 3-subevent, 0.5<pT<5.0 GeV",Page 18,Centrality,,,,nsc_2_3{4},
Figure10_Panel2_pt1,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_3sub_Har2_Pt2,TGraphErrors,sys_nsc_3sub_Har2_Pt2,TGraphAsymmErrors,"nsc_2_3{4}, 3-subevent, 1.0<pT<5.0 GeV",Page 18,Centrality,,,,nsc_2_3{4},
Figure10_Panel2_pt2,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_3sub_Har2_Pt4,TGraphErrors,sys_nsc_3sub_Har2_Pt4,TGraphAsymmErrors,"nsc_2_3{4}, 3-subevent, 1.5<pT<5.0 GeV",Page 18,Centrality,,,,nsc_2_3{4},
Figure10_Panel2_pt3,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_3sub_Har2_Pt6,TGraphErrors,sys_nsc_3sub_Har2_Pt6,TGraphAsymmErrors,"nsc_2_3{4}, 3-subevent, 2.0<pT<5.0 GeV",Page 18,Centrality,,,,nsc_2_3{4},
Figure11_Panel1_pt0,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_1sub_Har3_Pt0,TGraphErrors,sys_nsc_1sub_Har3_Pt0,TGraphAsymmErrors,"nsc_2_4{4}, standard, 0.5<pT<5.0 GeV",Page 19,Centrality,,,,nsc_2_4{4},
Figure11_Panel1_pt1,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_1sub_Har3_Pt2,TGraphErrors,sys_nsc_1sub_Har3_Pt2,TGraphAsymmErrors,"nsc_2_4{4}, standard, 1.0<pT<5.0 GeV",Page 19,Centrality,,,,nsc_2_4{4},
Figure11_Panel1_pt2,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_1sub_Har3_Pt4,TGraphErrors,sys_nsc_1sub_Har3_Pt4,TGraphAsymmErrors,"nsc_2_4{4}, standard, 1.5<pT<5.0 GeV",Page 19,Centrality,,,,nsc_2_4{4},
Figure11_Panel1_pt3,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_1sub_Har3_Pt6,TGraphErrors,sys_nsc_1sub_Har3_Pt6,TGraphAsymmErrors,"nsc_2_4{4}, standard, 2.0<pT<5.0 GeV",Page 19,Centrality,,,,nsc_2_4{4},
